S,call delta,gamma,vega,call theta,call rho
126,0.816251039,0.005966747,0.236820190,-0.041900592,0.345270642
127,0.822134270,0.005800228,0.233879707,-0.041599733,0.348991716
128,0.827852534,0.005636823,0.230884269,-0.041289271,0.352637041
129,0.833408968,0.005476575,0.227839215,-0.040969947,0.356206984
130,0.838806749,0.005319520,0.224749715,-0.040642481,0.359701981
131,0.844049081,0.005165684,0.221620770,-0.040307572,0.363122539
132,0.849139197,0.005015087,0.218457208,-0.039965898,0.366469227
133,0.854080340,0.004867741,0.215263686,-0.039618112,0.369742673
134,0.858875765,0.004723651,0.212044684,-0.039264849,0.372943559
135,0.863528726,0.004582815,0.208804513,-0.038906717,0.376072617
136,0.868042477,0.004445227,0.205547305,-0.038544306,0.379130626
137,0.872420259,0.004310875,0.202277025,-0.038178179,0.382118406
138,0.876665300,0.004179741,0.198997465,-0.037808881,0.385036817
139,0.880780807,0.004051804,0.195712246,-0.037436931,0.387886752
140,0.884769964,0.003927037,0.192424826,-0.037062829,0.390669138
141,0.888635928,0.003805412,0.189138495,-0.036687052,0.393384927
142,0.892381825,0.003686895,0.185856385,-0.036310055,0.396035099
143,0.896010743,0.003571450,0.182581465,-0.035932273,0.398620655
144,0.899525736,0.003459038,0.179316552,-0.035554120,0.401142616
145,0.902929817,0.003349618,0.176064308,-0.035175988,0.403602019
146,0.906225955,0.003243146,0.172827250,-0.034798251,0.405999915
147,0.909417076,0.003139576,0.169607748,-0.034421263,0.408337368
148,0.912506059,0.003038861,0.166408031,-0.034045359,0.410615451
149,0.915495734,0.002940952,0.163230190,-0.033670855,0.412835244
150,0.918388882,0.002845799,0.160076187,-0.033298048,0.414997832
