date;crypto investment;savings
06-10-2018;1659.36;2000
07-10-2018;1663.04;2000
08-10-2018;1675.46;2000
09-10-2018;1723.04;2050
10-10-2018;1708.23;2050
11-10-2018;1622.81;2050
12-10-2018;1627.57;2050
13-10-2018;1630.53;2050
14-10-2018;1631.81;2050
15-10-2018;1711.08;2050
16-10-2018;1760.97;2100
17-10-2018;1747.17;2100
18-10-2018;1729.1;2100
19-10-2018;1726.08;2100
20-10-2018;1732.43;2100
21-10-2018;1730.6;2100
22-10-2018;1731.89;2100
23-10-2018;1778.84;2150
24-10-2018;1784.36;2150
25-10-2018;1778.99;2150
26-10-2018;1778.56;2150
27-10-2018;1780.11;2150
28-10-2018;1781.76;2150
29-10-2018;1739.53;2150
30-10-2018;1789.98;2200
31-10-2018;1785.27;2200
01-11-2018;1802.27;2200
02-11-2018;1805.28;2200
03-11-2018;1797.6;2200
04-11-2018;1801.8;2200
05-11-2018;1814.11;2200
06-11-2018;1875.79;2250
07-11-2018;1895.86;2250
08-11-2018;1873.67;2250
09-11-2018;1853.9;2250
10-11-2018;1860.75;2250
11-11-2018;1861.35;2250
12-11-2018;1849.74;2250
13-11-2018;1896.32;2300
14-11-2018;1711.1;2300
15-11-2018;1684.17;2300
16-11-2018;1662.56;2300
17-11-2018;1656.23;2300
18-11-2018;1676.87;2300
19-11-2018;1452.61;2300
20-11-2018;1377.49;2350
21-11-2018;1424;2350
22-11-2018;1350.9;2350
23-11-2018;1345.07;2350
24-11-2018;1200.78;2350
25-11-2018;1240.76;2350
26-11-2018;1169.33;2350
27-11-2018;1232.2;2400
28-11-2018;1373.04;2400
29-11-2018;1379.95;2400
30-11-2018;1295.59;2400
01-12-2018;1359.25;2400
02-12-2018;1335.13;2400
03-12-2018;1255.88;2400
04-12-2018;1326.12;2450
05-12-2018;1258.12;2450
06-12-2018;1180.07;2450
07-12-2018;1146.16;2450
08-12-2018;1164.99;2450
09-12-2018;1211.28;2450
10-12-2018;1173.88;2450
11-12-2018;1197.72;2500
12-12-2018;1219.53;2500
13-12-2018;1158.93;2500
14-12-2018;1134.03;2500
15-12-2018;1132.03;2500
16-12-2018;1137.65;2500
17-12-2018;1240.13;2500
18-12-2018;1342.66;2550
19-12-2018;1360.79;2550
20-12-2018;1501.91;2550
21-12-2018;1415.49;2550
22-12-2018;1458.23;2550
23-12-2018;1452.71;2550
24-12-2018;1481.63;2550
25-12-2018;1436.05;2600
26-12-2018;1451.78;2600
27-12-2018;1375.58;2600
28-12-2018;1476.86;2600
29-12-2018;1437.9;2600
30-12-2018;1455.04;2600
31-12-2018;1408.65;2600
