date;crypto;savings
06-10-2015;8.1641206;8.12799961
07-10-2015;8.1641206;8.23150299
08-10-2015;8.1641206;8.254094
09-10-2015;8.1641206;8.19903989
10-10-2015;8.1641206;8.16523183
11-10-2015;8.1641206;8.09552712
12-10-2015;8.1641206;8.15301583
13-10-2015;8.36451498;8.21616955
14-10-2015;8.36451498;8.13527581
15-10-2015;8.36451498;8.06071069
16-10-2015;8.36451498;7.79856162
17-10-2015;8.36451498;7.57463748
18-10-2015;8.36451498;7.83510341
19-10-2015;8.36451498;7.78174633
20-10-2015;8.5500692;7.79327737
21-10-2015;8.5500692;7.88667219
22-10-2015;8.5500692;7.66359
23-10-2015;8.5500692;7.59504653
24-10-2015;8.5500692;7.45595681
25-10-2015;8.5500692;7.40270746
26-10-2015;8.5500692;7.36067329
27-10-2015;8.72025995;7.31820239
28-10-2015;8.72025995;7.05801995
29-10-2015;8.72025995;6.85029687
30-10-2015;8.72025995;6.554578
31-10-2015;8.72025995;6.84351618
01-11-2015;8.72025995;6.60662322
02-11-2015;8.72025995;5.95256231
03-11-2015;8.84420119;5.45341432
04-11-2015;8.84420119;5.34547582
05-11-2015;8.84420119;5.69425961
06-11-2015;8.84420119;5.87496994
07-11-2015;8.84420119;5.69237385
08-11-2015;8.84420119;5.89230983
09-11-2015;8.84420119;5.78556099
10-11-2015;8.99264887;6.68014572
11-11-2015;8.99264887;7.23277279
12-11-2015;8.99264887;6.65381233
13-11-2015;8.99264887;6.68145513
14-11-2015;8.99264887;6.75866449
15-11-2015;8.99264887;7.02760476
16-11-2015;8.99264887;6.80270038
17-11-2015;9.14186074;6.86374582
18-11-2015;9.14186074;6.87408478
19-11-2015;9.14186074;7.05199186
20-11-2015;9.14186074;7.14236909
21-11-2015;9.14186074;7.03520965
22-11-2015;9.14186074;7.08704095
23-11-2015;9.14186074;7.1197293
24-11-2015;9.29808828;7.34269472
25-11-2015;9.29808828;7.16013736
26-11-2015;9.29808828;6.66318877
27-11-2015;9.29808828;6.56347594
28-11-2015;9.29808828;6.57561516
29-11-2015;9.29808828;6.3292161
30-11-2015;9.29808828;6.22811853
01-12-2015;9.43602388;6.6209087
02-12-2015;9.43602388;6.68175608
03-12-2015;9.43602388;6.6473526
04-12-2015;9.43602388;6.60823857
05-12-2015;9.43602388;6.17047471
06-12-2015;9.43602388;6.17310958
07-12-2015;9.43602388;6.06771554
08-12-2015;9.55634259;5.89561648
09-12-2015;9.55634259;5.86737826
10-12-2015;9.55634259;5.89680821
11-12-2015;9.55634259;5.42109773
12-12-2015;9.55634259;5.63222263
13-12-2015;9.55634259;5.64834981
14-12-2015;9.55634259;5.51575697
15-12-2015;9.66379529;5.37263507
16-12-2015;9.66379529;5.49530274
17-12-2015;9.66379529;5.48151848
18-12-2015;9.66379529;5.39239374
19-12-2015;9.66379529;5.40748666
20-12-2015;9.66379529;5.6473565
21-12-2015;9.66379529;5.69944751
22-12-2015;9.77832394;5.84096106
23-12-2015;9.77832394;5.76400142
24-12-2015;9.77832394;5.60458056
25-12-2015;9.77832394;5.59636372
26-12-2015;9.77832394;6.11109266
27-12-2015;9.77832394;6.03089239
28-12-2015;9.77832394;6.03866176
29-12-2015;9.89380191;6.00485467
30-12-2015;9.89380191;6.09441665
31-12-2015;9.89380191;6.03854937
