date;crypto investment;savings
13-04-2020;596.96;700
14-04-2020;646.73;750
15-04-2020;627.8;750
16-04-2020;672.67;750
17-04-2020;670.72;750
18-04-2020;685.98;750
19-04-2020;679.53;750
20-04-2020;650.47;750
21-04-2020;700.32;800
22-04-2020;724.43;800
23-04-2020;756.24;800
24-04-2020;768.57;800
25-04-2020;770.51;800
26-04-2020;781.7;800
27-04-2020;793.48;800
28-04-2020;844.64;850
29-04-2020;952.18;850
30-04-2020;936.77;850
01-05-2020;959.08;850
02-05-2020;972.47;850
03-05-2020;962.62;850
04-05-2020;964.26;850
05-05-2020;1024.04;900
06-05-2020;1054.26;900
07-05-2020;1131.92;900
08-05-2020;1119.54;900
09-05-2020;1091.24;900
10-05-2020;995.99;900
11-05-2020;978.4;900
12-05-2020;1051.45;950
13-05-2020;1107.04;950
14-05-2020;1162.42;950
15-05-2020;1114;950
16-05-2020;1119.83;950
17-05-2020;1154.9;950
18-05-2020;1161.57;950
19-05-2020;1211.87;1000
20-05-2020;1186.2;1000
21-05-2020;1131.24;1000
22-05-2020;1143.8;1000
23-05-2020;1147.12;1000
24-05-2020;1094.94;1000
25-05-2020;1109.46;1000
26-05-2020;1150.51;1050
27-05-2020;1195.56;1050
28-05-2020;1240.45;1050
29-05-2020;1229.17;1050
30-05-2020;1263.2;1050
31-05-2020;1232.03;1050
01-06-2020;1323.99;1050
02-06-2020;1290.98;1100
03-06-2020;1308.17;1100
04-06-2020;1327.67;1100
05-06-2020;1309.37;1100
06-06-2020;1307.76;1100
07-06-2020;1322.01;1100
08-06-2020;1323.72;1100
09-06-2020;1377;1150
10-06-2020;1387.46;1150
11-06-2020;1310.38;1150
12-06-2020;1332.74;1150
13-06-2020;1331.96;1150
14-06-2020;1319.52;1150
15-06-2020;1328.5;1150
16-06-2020;1390.78;1200
17-06-2020;1382.36;1200
18-06-2020;1372.38;1200
19-06-2020;1354.32;1200
20-06-2020;1360.79;1200
21-06-2020;1356.6;1200
22-06-2020;1406.92;1200
23-06-2020;1454.14;1250
24-06-2020;1406.41;1250
25-06-2020;1399.05;1250
26-06-2020;1383.66;1250
27-06-2020;1365.91;1250
28-06-2020;1380.74;1250
29-06-2020;1387.88;1250
30-06-2020;1429.9;1300
01-07-2020;1444.03;1300
02-07-2020;1427.61;1300
03-07-2020;1421.96;1300
04-07-2020;1429.03;1300
05-07-2020;1419.87;1300
06-07-2020;1467.06;1300
07-07-2020;1497.78;1350
08-07-2020;1526.28;1350
09-07-2020;1501.94;1350
10-07-2020;1502.07;1350
11-07-2020;1495.85;1350
12-07-2020;1501.7;1350
13-07-2020;1496.38;1350
14-07-2020;1546.31;1400
15-07-2020;1537.88;1400
16-07-2020;1527.74;1400
17-07-2020;1530.95;1400
18-07-2020;1532.23;1400
19-07-2020;1536.71;1400
20-07-2020;1533.1;1400
21-07-2020;1618.34;1450
22-07-2020;1644.32;1450
23-07-2020;1653.93;1450
24-07-2020;1646.31;1450
25-07-2020;1670.51;1450
26-07-2020;1709.88;1450
27-07-2020;1897.3;1450
28-07-2020;1933.83;1500
29-07-2020;1967.08;1500
30-07-2020;1968.98;1500
31-07-2020;2006.59;1500
01-08-2020;2083.88;1500
02-08-2020;1958.77;1500
03-08-2020;1992.93;1500
04-08-2020;2035.76;1550
05-08-2020;2134.07;1550
06-08-2020;2140.02;1550
07-08-2020;2107.62;1550
08-08-2020;2135.34;1550
09-08-2020;2121.12;1550
10-08-2020;2157.88;1550
11-08-2020;2122.93;1600
12-08-2020;2155.38;1600
13-08-2020;2192.45;1600
14-08-2020;2189.6;1600
15-08-2020;2207.62;1600
16-08-2020;2212.66;1600
17-08-2020;2279.94;1600
18-08-2020;2280.98;1650
19-08-2020;2236.66;1650
20-08-2020;2259.51;1650
21-08-2020;2205.13;1650
22-08-2020;2222.12;1650
23-08-2020;2218.89;1650
24-08-2020;2239.77;1650
25-08-2020;2212.07;1700
26-08-2020;2235.86;1700
27-08-2020;2203.75;1700
28-08-2020;2246.39;1700
29-08-2020;2239.46;1700
30-08-2020;2279.29;1700
31-08-2020;2273.31;1700
01-09-2020;2379.69;1750
02-09-2020;2269.07;1750
03-09-2020;2036.73;1750
04-09-2020;2089.71;1750
05-09-2020;2021.67;1750
06-09-2020;2043.7;1750
07-09-2020;2061.43;1750
08-09-2020;2064.11;1800
09-09-2020;2086.69;1800
10-09-2020;2111.3;1800
11-09-2020;2118.99;1800
12-09-2020;2127.4;1800
13-09-2020;2103.27;1800
