date;dca;dva (no withdraw);dva (crypto ptf + cash);lump-sum;lump-sum mid-year
15-07-2020;1538;1392;1746;2928;2583
16-07-2020;1528;1383;1737;2908;2566
17-07-2020;1531;1386;1740;2915;2572
18-07-2020;1532;1387;1741;2917;2574
19-07-2020;1537;1391;1745;2926;2581
20-07-2020;1533;1388;1742;2919;2575
21-07-2020;1618;1450;1804;2986;2634
22-07-2020;1644;1473;1827;3034;2677
23-07-2020;1654;1482;1836;3051;2692
24-07-2020;1646;1475;1829;3037;2680
25-07-2020;1671;1497;1850;3082;2719
26-07-2020;1710;1532;1886;3155;2783
27-07-2020;1897;1700;2054;3500;3089
28-07-2020;1934;1688;2041;3476;3067
29-07-2020;1967;1717;2067;3535;3119
30-07-2020;1969;1719;2069;3539;3122
31-07-2020;2007;1751;2098;3606;3182
01-08-2020;2084;1819;2158;3745;3305
02-08-2020;1959;1710;2061;3520;3106
03-08-2020;1993;1739;2087;3582;3160
04-08-2020;2036;1733;2091;3569;3149
05-08-2020;2134;1817;2166;3741;3301
06-08-2020;2140;1822;2171;3752;3310
07-08-2020;2108;1794;2146;3695;3260
08-08-2020;2135;1818;2167;3743;3303
09-08-2020;2121;1806;2156;3719;3281
10-08-2020;2158;1837;2184;3783;3338
11-08-2020;2123;1765;2141;3634;3206
12-08-2020;2155;1792;2166;3690;3256
13-08-2020;2192;1823;2194;3753;3311
14-08-2020;2190;1820;2192;3748;3307
15-08-2020;2208;1835;2205;3779;3334
16-08-2020;2213;1839;2209;3788;3342
17-08-2020;2280;1895;2260;3903;3444
18-08-2020;2281;1855;2223;3819;3370
19-08-2020;2237;1819;2191;3745;3304
20-08-2020;2260;1837;2207;3783;3338
21-08-2020;2205;1793;2168;3692;3258
22-08-2020;2222;1807;2180;3720;3283
23-08-2020;2219;1804;2178;3715;3278
24-08-2020;2240;1821;2193;3750;3309
25-08-2020;2212;1758;2273;3620;3194
26-08-2020;2236;1777;2291;3659;3228
27-08-2020;2204;1751;2267;3606;3182
28-08-2020;2246;1785;2299;3676;3244
29-08-2020;2239;1780;2294;3665;3234
30-08-2020;2279;1811;2325;3730;3291
31-08-2020;2273;1807;2320;3720;3282
01-09-2020;2380;1851;2363;3812;3364
02-09-2020;2269;1765;2282;3635;3207
03-09-2020;2037;1585;2111;3263;2879
04-09-2020;2090;1626;2150;3348;2954
05-09-2020;2022;1573;2100;3239;2858
06-09-2020;2044;1590;2116;3274;2889
07-09-2020;2061;1604;2129;3303;2914
08-09-2020;2064;1800;2413;3227;2847
09-09-2020;2087;1820;2433;3262;2878
10-09-2020;2111;1841;2454;3300;2912
11-09-2020;2119;1848;2461;3313;2923
12-09-2020;2127;1855;2469;3326;2934
13-09-2020;2103;1834;2447;3288;2901
14-09-2020;2176;1898;2511;3402;3001
15-09-2020;2250;1918;2532;3439;3034
16-09-2020;2287;1950;2562;3495;3084
17-09-2020;2281;1945;2558;3487;3077
18-09-2020;2280;1944;2557;3486;3076
19-09-2020;2312;1971;2582;3533;3118
20-09-2020;2279;1943;2556;3484;3074
21-09-2020;2180;1859;2474;3332;2940
22-09-2020;2246;1900;2582;3356;2961
23-09-2020;2179;1844;2525;3257;2874
24-09-2020;2290;1937;2619;3422;3020
25-09-2020;2281;1930;2611;3409;3007
26-09-2020;2292;1939;2620;3425;3022
27-09-2020;2296;1943;2624;3431;3028
28-09-2020;2285;1933;2615;3415;3013
29-09-2020;2362;1956;2637;3455;3049
30-09-2020;2349;1945;2626;3436;3031
01-10-2020;2313;1915;2597;3383;2985
02-10-2020;2305;1908;2590;3371;2975
03-10-2020;2300;1905;2587;3365;2969
04-10-2020;2326;1926;2608;3403;3002
05-10-2020;2352;1948;2629;3441;3036
06-10-2020;2363;2000;2687;3383;2985
07-10-2020;2375;2011;2698;3401;3001
08-10-2020;2430;2057;2744;3479;3070
09-10-2020;2464;2086;2774;3529;3113
10-10-2020;2513;2127;2815;3598;3174
11-10-2020;2532;2144;2831;3626;3199
12-10-2020;2570;2176;2863;3680;3247
13-10-2020;2591;2151;2839;3639;3211
14-10-2020;2592;2152;2840;3640;3212
15-10-2020;2607;2165;2851;3661;3230
16-10-2020;2568;2132;2820;3606;3182
17-10-2020;2576;2139;2827;3617;3192
18-10-2020;2604;2162;2849;3657;3227
19-10-2020;2663;2211;2896;3740;3300
20-10-2020;2753;2244;2927;3795;3349
21-10-2020;2962;2415;3087;4084;3604
22-10-2020;2995;2441;3112;4129;3644
23-10-2020;2987;2435;3106;4118;3634
24-10-2020;3028;2468;3137;4175;3684
25-10-2020;3010;2454;3123;4150;3662
26-10-2020;3020;2462;3131;4164;3674
27-10-2020;3204;2571;3233;4349;3837
28-10-2020;3114;2499;3173;4227;3729
29-10-2020;3153;2530;3199;4280;3776
30-10-2020;3179;2551;3216;4314;3807
31-10-2020;3234;2595;3253;4389;3873
01-11-2020;3224;2587;3246;4375;3860
02-11-2020;3180;2551;3217;4316;3808
03-11-2020;3324;2627;3283;4443;3920
04-11-2020;3367;2661;3312;4501;3972
05-11-2020;3712;2934;3540;4962;4378
06-11-2020;3708;2931;3538;4957;4374
07-11-2020;3534;2793;3423;4724;4168
08-11-2020;3688;2915;3524;4930;4350
09-11-2020;3653;2887;3501;4883;4309
10-11-2020;3693;2879;3495;4870;4297
11-11-2020;3792;2956;3555;5001;4412
12-11-2020;3931;3065;3640;5184;4574
13-11-2020;3941;3073;3646;5197;4585
14-11-2020;3881;3026;3609;5117;4515
15-11-2020;3853;3004;3592;5082;4484
16-11-2020;4037;3148;3704;5324;4697
17-11-2020;4312;3323;3841;5620;4959
18-11-2020;4350;3352;3862;5670;5003
19-11-2020;4354;3355;3863;5674;5007
20-11-2020;4550;3506;3968;5931;5233
21-11-2020;4555;3510;3971;5937;5239
22-11-2020;4489;3459;3936;5851;5162
23-11-2020;4487;3458;3935;5849;5161
24-11-2020;4719;3598;4032;6085;5369
25-11-2020;4626;3527;3985;5966;5264
26-11-2020;4236;3229;3791;5462;4820
27-11-2020;4225;3221;3786;5449;4808
28-11-2020;4376;3336;3861;5643;4979
29-11-2020;4489;3423;3917;5789;5108
30-11-2020;4847;3695;4095;6251;5515
01-12-2020;4694;3540;4082;5988;5284
02-12-2020;4793;3615;4132;6115;5396
03-12-2020;4854;3661;4164;6193;5464
04-12-2020;4668;3521;4068;5956;5255
05-12-2020;4781;3607;4126;6100;5383
06-12-2020;4829;3643;4151;6161;5436
07-12-2020;4791;3614;4131;6112;5393
08-12-2020;4623;3450;4132;5835;5148
09-12-2020;4682;3494;4163;5909;5214
10-12-2020;4609;3439;4124;5817;5133
11-12-2020;4557;3400;4097;5751;5075
12-12-2020;4745;3541;4196;5989;5284
13-12-2020;4831;3604;4241;6097;5379
14-12-2020;4857;3624;4255;6130;5409
15-12-2020;4950;3656;4278;6184;5456
16-12-2020;5433;4013;4522;6787;5989
17-12-2020;5814;4294;4714;7263;6409
18-12-2020;5898;4357;4757;7369;6502
19-12-2020;6085;4495;4851;7602;6708
20-12-2020;5985;4421;4801;7477;6597
21-12-2020;5813;4294;4714;7262;6408
22-12-2020;6113;4478;4840;7574;6683
23-12-2020;5974;4376;4782;7402;6531
24-12-2020;6101;4469;4835;7560;6670
25-12-2020;6340;4644;4935;7855;6931
26-12-2020;6795;4978;5125;8420;7429
27-12-2020;6753;4947;5107;8367;7383
28-12-2020;6962;5100;5194;8626;7611
29-12-2020;7083;5152;5224;8714;7689
30-12-2020;7466;5431;5365;9185;8105
31-12-2020;7507;5461;5380;9237;8150
